hod_id,hod_name,hod_role,faculty_id,faculty_name,department,reports_to,student_id,student_name,semester,section,feedback_text,risk_label,help_needed,faculty_access_rule,hod_access_rule
hod,Dr. Alan Turing,root_hod,F003,Prof. John von Neumann,CSE,hod,S0001,Alice Smith,8,A,I am extremely stressed and panicking. I need urgent help.,high,yes,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F003,Prof. John von Neumann,CSE,hod,S0002,Bob Johnson,4,C,I need a bit more practice to feel completely sure.,medium,yes,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F001,Prof. Ada Lovelace,CSE,hod,S0003,Charlie Brown,4,C,I need a bit more practice to feel completely sure.,medium,yes,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F002,Prof. Grace Hopper,CSE,hod,S0004,Diana Prince,4,C,I need a bit more practice to feel completely sure.,medium,yes,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F001,Prof. Ada Lovelace,CSE,hod,S0005,Evan Wright,2,B,I am doing great and have no issues.,low,no,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F003,Prof. John von Neumann,CSE,hod,STU_0001,Student 1,4,B,"I understand everything well, the teaching is great.",low,no,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F001,Prof. Ada Lovelace,CSE,hod,STU_0002,Student 2,6,A,I feel fully prepared for the exams.,low,no,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F001,Prof. Ada Lovelace,CSE,hod,STU_0003,Student 3,2,A,I am extremely stressed and panicking. I need urgent help.,high,yes,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F002,Prof. Grace Hopper,CSE,hod,STU_0004,Student 4,8,B,I need a bit more practice to feel completely sure.,medium,yes,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F001,Prof. Ada Lovelace,CSE,hod,STU_0005,Student 5,8,B,"It is okay, but I'm slightly confused about some topics.",medium,yes,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F001,Prof. Ada Lovelace,CSE,hod,STU_0006,Student 6,8,B,Very easy to follow and helpful resources provided.,low,no,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F001,Prof. Ada Lovelace,CSE,hod,STU_0007,Student 7,8,C,Very easy to follow and helpful resources provided.,low,no,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F002,Prof. Grace Hopper,CSE,hod,STU_0008,Student 8,4,C,I am doing great and have no issues.,low,no,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F001,Prof. Ada Lovelace,CSE,hod,STU_0009,Student 9,8,C,"Everything is very hard, I cannot understand anything.",high,yes,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F001,Prof. Ada Lovelace,CSE,hod,STU_0010,Student 10,6,A,The concepts are perfectly clear and I feel very confident. Excellent course.,low,no,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F002,Prof. Grace Hopper,CSE,hod,STU_0011,Student 11,4,B,"It is okay, but I'm slightly confused about some topics.",medium,yes,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F002,Prof. Grace Hopper,CSE,hod,STU_0012,Student 12,6,C,I'm depressed about my grades and feel like giving up.,high,yes,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F001,Prof. Ada Lovelace,CSE,hod,STU_0013,Student 13,4,A,I am extremely stressed and panicking. I need urgent help.,high,yes,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F001,Prof. Ada Lovelace,CSE,hod,STU_0014,Student 14,8,C,I am doing great and have no issues.,low,no,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F002,Prof. Grace Hopper,CSE,hod,STU_0015,Student 15,8,B,"Managing, but struggling slightly with the assignments.",medium,yes,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F003,Prof. John von Neumann,CSE,hod,STU_0016,Student 16,6,C,"Managing, but struggling slightly with the assignments.",medium,yes,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F003,Prof. John von Neumann,CSE,hod,STU_0017,Student 17,4,B,"Some parts are tricky, I might need to ask a few questions.",medium,yes,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F001,Prof. Ada Lovelace,CSE,hod,STU_0018,Student 18,6,A,The concepts are perfectly clear and I feel very confident. Excellent course.,low,no,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
hod,Dr. Alan Turing,root_hod,F002,Prof. Grace Hopper,CSE,hod,STU_0019,Student 19,8,B,I need a bit more practice to feel completely sure.,medium,yes,faculty_can_view_only_assigned_students,hod_can_view_all_students_and_faculty
